,0,1,2,3
916,6/9/2011,190,620,260
917,6/10/2011,470,858,865
918,6/11/2011,660,554,736
919,6/12/2011,721,901,467
920,6/13/2011,023,452,008
921,6/14/2011,982,521,007
922,6/15/2011,986,010,384
923,6/16/2011,971,137,706
924,6/17/2011,350,343,758
925,6/18/2011,129,645,695
926,6/19/2011,160,104,827
927,6/20/2011,696,444,429
928,6/21/2011,427,288,990
929,6/22/2011,289,820,321
930,6/23/2011,457,670,635
931,6/24/2011,453,674,913
932,6/25/2011,422,561,111
933,6/26/2011,507,399,171
934,6/27/2011,537,336,796
935,6/28/2011,627,902,283
936,6/29/2011,087,187,245
937,6/30/2011,816,624,430
938,JULY,11AM,4PM,9PM
939,7/1/2011,160,852,021
940,7/2/2011,836,661,190
941,7/3/2011,730,840,831
942,7/4/2011,924,803,270
943,7/5/2011,542,660,393
944,7/6/2011,667,565,202
945,7/7/2011,226,329,568
946,7/8/2011,841,056,308
947,7/9/2011,661,542,133
948,7/10/2011,425,475,090
949,7/11/2011,439,603,040
950,7/12/2011,408,369,401
951,7/13/2011,251,270,983
952,7/14/2011,397,833,650
953,715/2011,466,276,047
954,7/16/2011,163,542,825
955,7/17/2011,724,075,038
956,7/18/2011,157,676,941
957,7/19/2011,141,999,985
958,7/20/2011,798,181,358
959,7/21/2011,728,926,529
960,7/22/2011,170,917,854
961,7/23/2011,317,498,292
962,7/24/2011,276,698,659
963,7/25/2011,841,487,131
964,7/26/2011,003,277,656
965,7/27/2011,899,165,733
966,7/28/2011,608,889,872
967,7/29/2011,669,650,456
968,7/30/2011,547,699,218
969,7/31/2011,789,732,456
970,AUGUST,11AM,4PM,9PM
971,8/1/2011,787,722,437
972,8/2/2011,592,316,745
973,8/3/2011,345,547,297
974,8/4/2011,905,327,680
975,8/5/2011,990,818,496
976,8/6/2011,629,701,539
977,8/7/2011,978,662,635
978,8/8/2011,938,396,542
979,8/9/2011,563,517,297
980,8/10/2011,281,517,085
981,8/11/2011,210,073,957
982,8/12/2011,360,523,719
983,8/13/2011,476,448,734
984,8/14/2011,728,919,089
985,8/15/2011,474,525,444
986,8/16/2011,560,745,537
987,8/17/2011,756,352,292
988,8/18/2011,646,399,057
989,8/19/2011,170,393,335
990,8/20/2011,543,276,037
991,8/21/2011,124,042,879
992,8/22/2011,167,747,558
993,8/23/2011,412,441,655
994,8/24/2011,006,983,918
995,8/25/2011,925,006,590
996,8/26/2011,195,068,243
997,8/27/2011,987,042,116
998,8/28/2011,599,481,322
999,8/29/2011,108,009,523
1000,8/30/2011,937,156,598
1001,8/31/2011,483,321,242
1002,SEPTEMBER,11AM,4PM,9PM
1003,9/1/2011,319,649,174
1004,9/2/2011,258,621,532
1005,9/3/2011,441,587,083
1006,9/4/2011,179,549,353
1007,9/5/2011,583,410,771
1008,9/6/2011,567,036,125
1009,9/7/2011,391,971,014
1010,9/8/2011,859,596,471
1011,9/9/2011,391,496,954
1012,9/10/2011,707,406,605
1013,9/11/2011,681,830,707
1014,9/12/2011,174,855,682
1015,9/13/2011,400,894,896
1016,9/14/2011,091,292,590
1017,9/15/2011,895,617,317
1018,9/16/2011,236,984,826
1019,9/17/2011,613,734,103
1020,9/18/2011,273,713,238
1021,9/19/2011,678,218,451
1022,9/20/2011,141,157,017
1023,9/21/2011,283,684,676
1024,9/22/2011,857,732,059
1025,9/23/2011,099,928,578
1026,9/24/2011,736,455,387
1027,9/25/2011,380,519,262
1028,9/26/2011,923,427,255
1029,9/27/2011,442,458,096
1030,9/28/2011,376,481,246
1031,9/29/2011,045,481,384
1032,9/30/2011,205,658,199
1033,OCTOBER,11AM,4PM,9PM
1034,10/1/2011,708,459,979
1035,10/2/2011,019,931,942
1036,10/3/2011,995,237,481
1037,10/4/2011,018,474,204
1038,10/5/2011,347,700,119
1039,10/6/2011,836,508,225
1040,10/7/2011,775,740,374
1041,10/8/2011,148,979,008
1042,10/9/2011,276,887,507
1043,10/10/2011,745,501,622
1044,10/11/2011,776,474,898
1045,10/12/2011,016,048,116
1046,10/13/2011,277,987,661
1047,10/14/2011,444,205,524
1048,10/15/2011,902,777,346
1049,10/16/2011,721,003,438
1050,10/17/2011,632,680,477
1051,10/18/2011,665,450,428
1052,10/19/2011,554,485,069
1053,10/20/2011,038,397,697
1054,10/21/2011,367,707,326
1055,10/22/2011,207,648,272
1056,10/23/2011,141,780,399
1057,10/24/2011,526,375,636
1058,10/25/2011,166,589,740
1059,10/26/2011,106,733,189
1060,10/27/2011,313,845,274
1061,10/28/2011,760,691,409
1062,10/29/2011,091,590,075
1063,10/30/2011,886,734,320
1064,10/31/2011,641,523,744
1065,NOVEMBER,11AM,4PM,9PM
1066,11/1/2011,609,068,399
1067,11/2/2011,584,912,216
1068,11/3/2011,888,145,536
1069,11/4/2011,017,848,927
1070,11/5/2011,362,305,085
1071,11/6/2011,420,279,334
1072,11/7/2011,177,625,235
1073,11/8/2011,762,372,290
1074,11/9/2011,305,455,215
1075,11/10/2011,641,276,285
1076,11/11/2011,243,024,348
1077,11/12/2011,565,423,860
1078,11/13/2011,693,346,523
1079,11/14/2011,353,307,176
1080,11/15/2011,723,299,876
1081,11/16/2011,991,978,157
1082,11/17/2011,878,558,554
1083,11/18/2011,424,615,481
1084,11/19/2011,423,425,948
1085,11/20/2011,533,474,339
1086,11/21/2011,177,056,578
1087,11/22/2011,308,441,404
1088,11/23/2011,789,216,582
1089,11/24/2011,503,797,327
1090,11/25/2011,340,647,230
1091,11/26/2011,600,174,727
1092,11/27/2011,169,206,170
1093,11/28/2011,904,528,062
1094,11/29/2011,064,770,497
1095,11/30/2011,626,653,867
1096,DECEMBER,11AM,4PM,9PM
1097,12/1/2011,750,803,804
1098,12/2/2011,539,550,705
1099,12/3/2011,325,229,444
1100,12/4/2011,481,023,990
1101,12/5/2011,308,771,869
1102,12/6/2011,990,117,479
1103,12/7/2011,025,911,771
1104,12/8/2011,595,135,852
1105,12/9/2011,680,935,076
1106,12/10/2011,038,396,842
1107,12/11/2011,617,798,075
1108,12/12/2011,093,584,481
1109,12/13/2011,292,431,707
1110,12/14/2011,290,251,626
1111,12/15/2011,985,780,825
1112,12/16/2011,510,110,121
1113,12/17/2011,035,716,230
1114,12/18/2011,479,592,289
1115,12/19/2011,609,980,199
1116,12/20/2011,502,773,560
1117,12/21/2011,540,303,933
1118,12/22/2011,983,297,132
1119,12/23/2011,208,409,004
1120,12/24/2011,478,130,058
1121,12/25/2011,N/D,N/D,N/D
1122,12/26/2011,995,521,310
1123,12/27/2011,648,468,920
1124,12/28/2011,609,749,773
1125,12/29/2011,125,574,538
1126,12/30/2011,459,334,894
1127,12/31/2011,396,340,092
1128,1/1/2012,N/D,N/D,N/D
1129,1/2/2012,360,393,514
1130,1/3/2012,176,236,077
1131,1/4/2012,366,686,883
1132,1/5/2012,156,132,259
1133,1/6/2012,220,171,018
1134,1/7/2012,499,506,100
1135,1/8/2012,239,284,161
1136,1/9/2012,674,813,260
1137,1/10/2012,176,314,499
1138,1/11/2012,529,008,203
1139,1/12/2012,032,266,522
1140,1/13/2012,482,176,921
1141,1/14/2012,479,632,083
1142,1/15/2012,043,959,498
1143,1/16/2012,537,746,885
1144,1/17/2012,389,058,663
1145,1/18/2012,956,791,037
1146,1/19/2012,234,598,181
1147,1/20/2012,349,844,640
1148,1/21/2012,231,176,783
1149,1/22/2012,852,204,871
1150,1/23/2012,054,959,323
1151,1/24/2012,619,378,483
1152,1/25/2012,783,917,535
1153,1/26/2012,115,182,376
1154,1/27/2012,501,280,482
1155,1/28/2012,630,448,247
1156,1/29/2012,023,009,053
1157,1/30/2012,125,470,717
1158,1/31/2012,254,986,706
1159,FEBRUARY,11AM,4PM,9PM
1160,2/1/2012,961,686,160
1161,2/2/2012,451,235,272
1162,2/3/2012,820,885,111
1163,2/4/2012,916,893,246
1164,2/5/2012,913,030,133
1165,2/6/2012,145,915,923
1166,2/7/2012,957,065,150
1167,2/8/2012,680,148,248
1168,2/9/2012,140,862,435
1169,2/10/2012,078,568,019
1170,2/11/2012,848,059,256
1171,2/12/2012,166,244,852
1172,2/13/2012,687,173,274
1173,2/14/2012,944,747,058
1174,2/15/2012,583,404,578
1175,2/16/2012,133,005,282
1176,2/17/2012,087,651,731
1177,2/18/2012,845,473,190
1178,2/19/2012,522,468,949
1179,2/20/2012,452,533,741
1180,2/21/2012,369,850,412
1181,2/22/2012,264,337,161
1182,2/23/2012,897,915,531
1183,2/24/2012,328,241,987
1184,2/25/2012,434,132,091
1185,2/26/2012,332,675,742
1186,2/27/2012,182,759,945
1187,2/28/2012,228,432,676
1188,2/29/2012,869,483,412
1189,MARCH,11AM,4PM,9PM
1190,3/1/2012,135,380,518
1191,3/2/2012,536,783,710
1192,3/3/2012,959,632,837
1193,3/4/2012,372,214,689
1194,3/5/2012,011,937,581
1195,3/6/2012,033,778,900
1196,3/7/2012,352,437,833
1197,3/8/2012,886,311,723
1198,3/9/2012,831,158,625
1199,3/10/2012,422,412,102
1200,3/11/2012,607,068,975
1201,3/12/2012,664,492,970
1202,3/13/2012,587,554,369
1203,3/14/2012,488,072,191
1204,3/15/2012,601,162,614
1205,3/16/2012,354,310,736
1206,3/17/2012,119,880,663
1207,3/18/2012,061,500,537
1208,3/19/2012,020,434,284
1209,3/20/2012,929,642,954
1210,3/21/2012,879,800,658
1211,3/22/2012,776,480,772
1212,3/23/2012,374,525,332
1213,3/24/2012,241,129,929
1214,3/25/2012,817,646,747
1215,3/26/2012,646,186,375
1216,3/27/2012,697,077,911
1217,3/28/2012,473,352,155
1218,3/29/2012,135,588,580
1219,3/30/2012,486,869,504
1220,3/31/2012,450,533,473
1221,APRIL,11AM,4PM,9PM
1222,4/1/2012,233,466,049
1223,4/2/2012,162,762,585
1224,4/3/2012,537,253,805
1225,4/4/2012,886,792,336
1226,4/5/2012,N/D,N/D,N/D
1227,4/6/2012,N/D,N/D,N/D
1228,4/7/2012,N/D,N/D,N/D
1229,4/8/2012,N/D,N/D,N/D
1230,4/9/2012,305,081,596
1231,4/10/2012,918,768,930
1232,4/11/2012,627,129,149
1233,4/12/2012,705,765,048
1234,4/13/2012,008,984,777
1235,4/14/2012,320,513,533
1236,4/15/2012,917,490,363
1237,4/16/2012,002,961,417
1238,4/17/2012,178,454,910
1239,4/18/2012,703,358,264
1240,4/19/2012,084,597,975
1241,4/20/2012,386,800,586
1242,4/21/2012,433,334,169
1243,4/22/2012,927,782,413
1244,4/23/2012,559,934,651
1245,4/24/2012,356,535,372
1246,4/25/2012,083,208,862
1247,4/26/2012,098,989,231
1248,4/27/2012,445,503,976
1249,4/28/2012,523,645,048
1250,4/29/2012,N/D,N/D,N/D
1251,4/30/2012,N/D,N/D,N/D
1252,MAY,11AM,4PM,9PM
1253,5/1/2012,982,964,975
1254,5/2/2012,683,867,914
1255,5/3/2012,716,928,745
1256,5/4/2012,882,053,860
1257,5/5/2012,825,136,983
1258,5/6/2012,308,250,091
1259,5/7/2012,921,388,493
1260,5/8/2012,056,383,640
1261,5/9/2012,896,019,912
1262,5/10/2012,050,214,189
1263,5/11/2012,447,512,318
1264,5/12/2012,615,882,889
1265,5/13/2012,684,667,448
1266,5/14/2012,323,486,900
1267,5/15/2012,657,849,890
1268,5/16/2012,170,135,111
1269,5/17/2012,160,113,055
1270,5/18/2012,463,659,388
1271,5/19/2012,860,410,798
1272,5/20/2012,973,529,523
1273,5/21/2012,925,644,709
1274,5/22/2012,396,507,669
1275,5/23/2012,703,394,956
1276,5/24/2012,027,997,465
1277,5/25/2012,786,027,040
1278,5/26/2012,372,963,256
1279,5/27/2012,799,231,990
1280,5/28/2012,734,113,254
1281,5/29/2012,387,346,626
1282,5/30/2012,844,108,035
1283,5/31/2012,461,610,757
1284,JUNE,11AM,4PM,9PM
1285,6/1/2012,573,009,696
1286,6/2/2012,896,571,186
1287,6/3/2012,588,426,164
1288,6/4/2012,625,193,049
1289,6/5/2012,585,626,514
1290,6/6/2012,374,177,691
1291,6/7/2012,374,366,990
1292,6/8/2012,015,192,573
1293,6/9/2012,200,590,071
1294,6/10/2012,967,006,383
1295,6/11/2012,881,441,013
1296,6/12/2012,831,367,769
1297,6/13/2012,593,517,119
1298,6/14/2012,482,447,788
1299,6/15/2012,621,541,058
1300,6/16/2012,841,481,817
1301,6/17/2012,030,037,242
1302,6/18/2012,995,758,586
1303,6/19/2012,369,511,527
1304,6/20/2012,932,925,517
1305,6/21/2012,615,234,796
1306,6/22/2012,368,482,263
1307,6/23/2012,864,733,400
1308,6/24/2012,014,094,867
1309,6/25/2012,186,082,448
1310,6/26/2012,039,875,356
1311,6/27/2012,856,835,724
1312,6/28/2012,686,933,173
1313,6/29/2012,181,543,386
1314,6/30/2012,707,250,367
1315,JULY,11AM,4PM,9PM
1316,7/1/2012,765,965,199
1317,7/2/2012,765,616,849
1318,7/3/2012,136,586,797
1319,7/4/2012,998,562,479
1320,7/5/2012,523,905,423
1321,7/6/2012,973,346,185
1322,7/7/2012,166,352,377
1323,7/8/2012,489,146,728
1324,7/9/2012,022,204,156
1325,7/10/2012,548,376,318
1326,7/11/2012,834,249,258
1327,7/12/2012,098,888,363
1328,7/13/2012,444,693,318
1329,7/14/2012,260,705,390
1330,715/2012,029,376,975
1331,7/16/2012,142,172,921
1332,7/17/2012,811,871,223
1333,7/18/2012,171,123,289
1334,7/19/2012,758,853,687
1335,7/20/2012,058,482,646
1336,7/21/2012,392,077,114
1337,7/22/2012,663,608,434
1338,7/23/2012,132,514,166
1339,7/24/2012,952,921,946
1340,7/25/2012,080,253,215
1341,7/26/2012,916,095,638
1342,7/27/2012,332,881,234
1343,7/28/2012,488,892,265
1344,7/29/2012,972,860,787
1345,7/30/2012,220,091,219
1346,7/31/2012,672,672,187
1347,AUGUST,11AM,4PM,9PM
1348,8/1/2012,294,469,121
1349,8/2/2012,807,788,470
1350,8/3/2012,097,547,171
1351,8/4/2012,706,763,761
1352,8/5/2012,742,640,275
1353,8/6/2012,975,041,199
1354,8/7/2012,048,931,221
1355,8/8/2012,772,965,039
1356,8/9/2012,607,359,560
1357,8/10/2012,830,811,086
1358,8/11/2012,416,564,528
1359,8/12/2012,608,024,169
1360,8/13/2012,939,322,437
1361,8/14/2012,735,222,127
1362,8/15/2012,715,291,242
1363,8/16/2012,479,720,553
1364,8/17/2012,115,626,074
1365,8/18/2012,588,783,302
1366,8/19/2012,009,987,724
1367,8/20/2012,633,356,583
1368,8/21/2012,655,161,516
1369,8/22/2012,525,220,102
1370,8/23/2012,590,262,539
1371,8/24/2012,047,143,069
1372,8/25/2012,322,146,450
1373,8/26/2012,643,382,967
1374,8/27/2012,309,533,730
1375,8/28/2012,179,472,239
1376,8/29/2012,449,171,628
1377,8/30/2012,688,230,508
1378,8/31/2012,197,540,527
1379,SEPTEMBER,11AM,4PM,9PM
1380,9/1/2012,542,775,509
1381,9/2/2012,786,569,226
1382,9/3/2012,879,341,680
1383,9/4/2012,811,897,698
1384,9/5/2012,877,433,261
1385,9/6/2012,979,396,111
1386,9/7/2012,548,382,532
1387,9/8/2012,203,292,526
1388,9/9/2012,770,749,438
1389,9/10/2012,519,510,577
1390,9/11/2012,024,641,268
1391,9/12/2012,033,569,475
1392,9/13/2012,607,646,242
1393,9/14/2012,833,570,812
1394,9/15/2012,858,680,438
1395,9/16/2012,071,984,941
1396,9/17/2012,231,113,949
1397,9/18/2012,866,274,061
1398,9/19/2012,122,432,209
1399,9/20/2012,465,414,861
1400,9/21/2012,337,257,126
1401,9/22/2012,595,241,235
1402,9/23/2012,185,972,208
1403,9/24/2012,814,681,713
1404,9/25/2012,955,091,552
1405,9/26/2012,935,324,499
1406,9/27/2012,519,109,075
1407,9/28/2012,665,575,958
1408,9/29/2012,175,636,666
1409,9/30/2012,876,262,634
1410,OCTOBER,11AM,4PM,9PM
1411,10/1/2012,756,659,197
1412,10/2/2012,817,045,265
1413,10/3/2012,119,204,054
1414,10/4/2012,997,841,977
1415,10/5/2012,740,847,185
1416,10/6/2012,805,903,163
1417,10/7/2012,847,536,697
1418,10/8/2012,411,742,611
1419,10/9/2012,414,952,383
1420,10/10/2012,160,780,539
1421,10/11/2012,422,962,888
1422,10/12/2012,959,371,846
1423,10/13/2012,140,492,653
1424,10/14/2012,504,851,956
1425,10/15/2012,397,022,391
1426,10/16/2012,976,154,864
1427,10/17/2012,541,154,144
1428,10/18/2012,507,192,847
1429,10/19/2012,756,272,044
1430,10/20/2012,472,407,779
1431,10/21/2012,125,609,185
1432,10/22/2012,958,265,591
1433,10/23/2012,722,807,353
1434,10/24/2012,589,272,051
1435,10/25/2012,438,421,637
1436,10/26/2012,118,557,057
1437,10/27/2012,670,199,209
1438,10/28/2012,229,782,825
1439,10/29/2012,855,899,710
1440,10/30/2012,001,904,809
1441,10/31/2012,503,538,220
1442,NOVEMBER,11AM,4PM,9PM
1443,11/1/2012,737,427,562
1444,11/2/2012,019,089,630
1445,11/3/2012,244,071,117
1446,11/4/2012,824,383,389
1447,11/5/2012,964,970,368
1448,11/6/2012,794,307,466
1449,11/7/2012,892,482,853
1450,11/8/2012,264,967,549
1451,11/9/2012,904,362,475
1452,11/10/2012,388,287,186
1453,11/11/2012,800,795,506
1454,11/12/2012,797,921,681
1455,11/13/2012,844,147,621
1456,11/14/2012,833,475,557
1457,11/15/2012,908,739,037
1458,11/16/2012,479,311,731
1459,11/17/2012,366,612,571
1460,11/18/2012,430,210,328
1461,11/19/2012,283,658,204
1462,11/20/2012,578,671,720
1463,11/21/2012,405,858,680
1464,11/22/2012,241,162,379
1465,11/23/2012,403,787,594
1466,11/24/2012,462,415,456
1467,11/25/2012,368,114,152
1468,11/26/2012,121,956,984
1469,11/27/2012,853,777,594
1470,11/28/2012,310,105,538
1471,11/29/2012,553,491,199
1472,11/30/2012,804,779,104
1473,DECEMBER,11AM,4PM,9PM
1474,12/1/2012,104,121,492
1475,12/2/2012,171,004,509
1476,12/3/2012,195,760,271
1477,12/4/2012,882,052,845
1478,12/5/2012,871,679,575
1479,12/6/2012,541,392,252
1480,12/7/2012,602,569,707
1481,12/8/2012,634,952,904
1482,12/9/2012,924,018,342
1483,12/10/2012,022,983,486
1484,12/11/2012,978,864,599
1485,12/12/2012,414,329,584
1486,12/13/2012,890,022,940
1487,12/14/2012,411,207,377
1488,12/15/2012,639,744,435
1489,12/16/2012,363,268,272
1490,12/17/2012,651,053,781
1491,12/18/2012,078,967,961
1492,12/19/2012,490,162,770
1493,12/20/2012,179,965,218
1494,12/21/2012,925,251,795
1495,12/22/2012,741,330,510
1496,12/23/2012,053,584,367
1497,12/24/2012,804,470,629
1498,12/25/2012,N/D,N/D,N/D
1499,12/26/2012,268,958,238
1500,12/27/2012,464,923,241
1501,12/28/2012,845,386,625
1502,12/29/2012,677,919,836
1503,12/30/2012,096,312,330
1504,12/31/2012,549,766,160
1505,1/2/2013,4-7-3,3-2-8,9-2-6
1506,1/3/2013,8-4-1,7-3-0,9-5-9
1507,1/4/2013,5-6-4,0-4-7,8-8-6
1508,1/5/2013,7-5-2,0-2-7,0-8-5
1509,1/6/2013,6-2-0,7-3-7,5-2-9
1510,1/7/2013,1-7-0,8-6-9,9-9-6
1511,1/8/2013,8-0-7,8-1-8,3-8-6
1512,1/9/2013,6-1-9,4-6-8,9-2-6
1513,1/10/2013,4-0-2,4-5-3,1-3-4
1514,1/11/2013,7-9-0,6-4-0,7-9-0
1515,1/12/2013,0-5-2,6-3-2,8-2-0
1516,1/13/2013,5-2-5,4-0-3,1-2-6
1517,1/14/2013,1-5-0,1-3-9,6-0-1
1518,1/15/2013,5-1-3,3-6-8,0-5-9
1519,1/16/2013,2-5-3,8-8-7,9-0-7
1520,1/17/2013,4-6-0,6-9-2,5-3-5
1521,1/18/2013,0-0-1,8-1-1,8-3-5
1522,1/19/2013,6-4-8,3-8-7,8-2-7
1523,1/20/2013,2-0-4,1-1-3,9-4-5
1524,1/21/2013,3-6-8,5-0-4,6-7-8
1525,1/22/2013,1-3-3,0-5-4,0-4-2
1526,1/23/2013,5-6-7,9-7-7,2-4-6
1527,1/24/2013,7-3-7,4-1-3,1-8-4
1528,1/25/2013,8-2-7,7-9-4,3-0-1
1529,1/26/2013,3-3-9,2-6-3,3-2-3
1530,1/27/2013,2-3-2,8-1-1,8-7-1
1531,1/28/2013,7-5-3,5-0-6,7-6-0
1532,1/29/2013,6-2-8,2-5-0,8-1-9
1533,1/30/2013,5-4-8,9-7-6,5-1-6
1534,1/31/2013,4-1-1,4-3-0,5-4-1
1535,FEBRUARY,11AM,4PM,9PM
1536,2/1/2013,5-9-4,5-5-9,1-7-0
1537,2/2/2013,8-8-8,7-4-0,7-7-6
1538,2/3/2013,9-1-8,0-9-7,9-8-7
1539,2/4/2013,6-8-1,7-2-0,1-3-8
1540,2/5/2013,0-0-6,6-5-9,4-1-7
1541,2/6/2013,1-8-3,0-3-3,3-6-3
1542,2/7/2013,8-8-0,7-6-5,4-1-0
1543,2/8/2013,5-7-3,5-2-7,3-9-6
1544,2/9/2013,0-4-8,1-2-7,6-2-6
1545,2/10/2013,2-3-7,8-6-4,6-7-8
1546,2/11/2013,4-0-2,8-3-1,9-6-7
1547,2/12/2013,3-8-9,6-1-1,6-6-1
1548,2/13/2013,0-3-2,8-9-2,5-5-1
1549,2/14/2013,0-6-6,1-3-9,4-1-5
1550,2/15/2013,2-4-6,4-2-2,9-3-4
1551,2/16/2013,3-2-3,2-8-8,2-0-4
1552,2/17/2013,1-2-4,6-2-4,3-0-6
1553,2/18/2013,4-7-8,8-6-9,2-3-7
1554,2/19/2013,2-5-4,2-3-1,5-8-9
1555,2/20/2013,7-1-3,9-9-3,3-3-9
1556,2/21/2013,2-5-4,5-2-0,8-8-6
1557,2/22/2013,9-0-5,4-5-3,4-6-2
1558,2/23/2013,0-1-1,4-0-8,7-5-4
1559,2/24/2013,4-9-5,4-7-0,5-3-4
1560,2/25/2013,8-9-6,6-9-6,0-0-1
1561,2/26/2013,5-6-5,4-6-8,1-0-1
1562,2/27/2013,7-6-0,9-4-7,3-3-7
1563,2/28/2013,6-4-0,2-0-1,1-5-2
1564,MARCH,11AM,4PM,9PM
1565,3/1/2013,7-3-2,3-5-3,8-3-3
1566,3/2/2013,1-6-2,8-0-0,6-0-6
1567,3/3/2013,2-6-6,6-2-7,3-8-0
1568,3/4/2013,9-9-2,4-5-8,0-2-3
1569,3/5/2013,4-9-1,0-2-8,3-1-7
1570,3/6/2013,2-8-7,1-9-8,8-7-2
1571,3/7/2013,8-3-5,4-6-0,6-4-8
1572,3/8/2013,6-0-2,0-1-5,1-6-2
1573,3/9/2013,4-2-1,4-2-1,4-4-4
1574,3/10/2013,6-2-3,6-3-8,7-3-1
1575,3/11/2013,9-6-5,7-4-0,8-2-5
1576,3/12/2013,8-2-4,4-0-8,9-4-7
1577,3/13/2013,1-5-6,7-5-2,1-6-9
1578,3/14/2013,6-6-6,9-5-2,2-9-4
1579,3/15/2013,3-9-7,1-7-0,7-3-9
1580,3/16/2013,3-3-6,1-6-3,5-0-5
1581,3/17/2013,0-2-3,1-1-4,8-1-0
1582,3/18/2013,8-7-6,3-8-5,4-4-0
1583,3/19/2013,9-4-3,0-3-6,9-7-6
1584,3/20/2013,7-8-3,8-1-6,6-1-6
1585,3/21/2013,5-4-6,6-6-0,6-1-1
1586,3/22/2013,6-8-2,9-3-9,7-8-3
1587,3/23/2013,6-8-0,6-8-2,9-3-7
1588,3/24/2013,0-1-7,3-1-8,8-4-9
1589,3/25/2013,5-2-6,1-0-2,7-2-5
1590,3/26/2013,4-9-7,7-0-0,2-2-0
1591,3/27/2013,3-9-6,7-4-9,6-5-3
1592,APRIL,11AM,4PM,9PM
1593,4/1/2013,9-2-3,8-2-5,7-8-7
1594,4/2/2013,6-5-7,1-6-3,0-4-3
1595,4/3/2013,3-3-1,6-6-3,3-7-4
1596,4/4/2013,4-2-1,5-8-3,9-7-0
1597,4/5/2013,1-8-4,0-7-3,4-9-9
1598,4/6/2013,9-0-2,4-1-0,4-2-5
1599,4/7/2013,4-2-5,4-4-6,1-5-6
1600,4/8/2013,8-8-7,3-5-1,4-3-9
1601,4/9/2013,2-8-0,5-3-6,1-8-4
1602,4/10/2013,2-2-4,1-7-6,4-2-6
1603,4/11/2013,0-8-8,6-3-1,0-1-2
1604,4/12/2013,0-8-3,7-2-1,2-2-3
1605,4/13/2013,2-8-7,3-7-9,3-5-6
1606,4/14/2013,5-9-7,6-6-1,2-6-4
1607,4/15/2013,9-9-8,5-0-7,9-7-1
1608,4/16/2013,3-7-1,7-4-8,9-8-7
1609,4/17/2013,8-3-9,7-0-9,5-1-8
1610,4/18/2013,3-5-2,8-0-9,3-6-4
1611,4/19/2013,6-3-7,0-8-8,2-7-9
1612,4/20/2013,2-7-8,2-8-6,8-9-5
1613,4/21/2013,2-4-1,0-2-2,2-8-7
1614,4/22/2013,8-3-9,4-1-9,2-1-1
1615,4/23/2013,4-7-4,0-2-5,8-1-4
1616,4/24/2013,1-6-7,8-4-5,6-5-1
1617,4/25/2013,7-5-1,3-1-5,5-9-5
1618,4/26/2013,1-2-4,2-2-8,3-5-9
1619,4/27/2013,6-3-9,4-1-6,0-1-3
1620,4/28/2013,1-3-3,7-1-4,7-7-3
1621,4/29/2013,7-8-8,1-5-3,4-2-6
1622,4/30/2013,8-3-3,3-5-0,7-4-9
1623,MAY,11AM,4PM,9PM
1624,5/1/2013,8-6-8,3-4-6,2-7-7
1625,5/2/2013,9-9-5,5-4-2,7-8-2
1626,5/3/2013,2-1-6,0-4-5,5-8-2
1627,5/4/2013,6-7-0,2-6-0,5-3-4
1628,5/5/2013,2-1-7,4-2-6,5-3-5
1629,5/6/2013,9-7-5,9-5-5,9-3-3
1630,5/7/2013,4-6-2,8-1-7,0-6-4
1631,5/8/2013,9-3-3,9-7-6,1-5-6
1632,5/9/2013,0-7-7,1-4-8,4-3-3
1633,5/10/2013,9-8-0,0-5-8,9-6-4
1634,5/11/2013,4-4-0,8-1-2,1-7-6
1635,5/12/2013,6-6-5,2-7-2,5-5-2
1636,5/13/2013,8-8-6,6-0-1,7-6-0
1637,5/14/2013,9-9-7,4-1-4,9-8-8
1638,5/15/2013,0-5-6,2-2-3,8-0-3
1639,5/16/2013,2-1-1,8-3-8,3-8-6
1640,5/17/2013,0-0-4,9-4-0,7-7-3
1641,5/18/2013,5-2-2,9-6-0,5-5-4
1642,5/19/2013,8-7-8,2-6-8,2-2-8
1643,5/20/2013,2-1-3,0-4-6,8-6-0
1644,5/21/2013,0-3-3,9-2-6,9-1-0
1645,5/22/2013,8-9-6,9-5-7,3-4-6
1646,5/23/2013,8-3-2,5-9-1,7-8-6
1647,5/24/2013,8-8-4,4-5-5,0-5-0
1648,5/25/2013,3-3-3,7-7-7,9-8-7
1649,5/26/2013,6-1-3,6-7-9,6-8-8
1650,5/27/2013,1-9-1,1-8-6,5-4-6
1651,5/28/2013,8-3-3,7-0-8,3-0-2
1652,5/29/2013,8-3-0,1-4-3,0-3-7
1653,5/30/2013,0-9-0,1-4-2,1-5-8
1654,5/31/2013,0-2-5,8-2-5,9-9-8
1655,JUNE,11AM,4PM,9PM
1656,6/1/2013,2-3-0,6-6-8,8-1-7
1657,6/2/2013,5-6-8,9-9-1,7-3-9
1658,6/3/2013,5-2-6,0-3-2,8-7-1
1659,6/4/2013,6-7-5,6-1-2,7-4-1
1660,6/5/2013,5-9-1,4-1-4,7-9-4
1661,6/6/2013,2-6-9,8-7-7,7-1-5
1662,6/7/2013,3-8-9,2-2-5,1-9-3
1663,6/8/2013,2-4-9,6-6-0,7-5-4
1664,6/9/2013,4-3-6,2-7-2,7-1-4
1665,6/10/2013,7-7-1,1-4-8,3-6-1
1666,6/11/2013,6-5-4,6-6-0,8-2-5
